Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Qatar,QAT,GDP per capita (current US$),66984.9102,58467.23557,59407.69805,66264.08117,62637.27511,52315.66008,66838.35743
Romania,ROU,GDP per capita (current US$),8976.880535,9404.341874,10727.94969,12494.47747,12958.07556,13047.43206,14858.22943
Russian Federation,RUS,GDP per capita (current US$),9313.013672,8704.898438,10720.33301,11287.36035,11536.25098,10169.08691,12194.77734
Rwanda,RWA,GDP per capita (current US$),733.4411218,728.43449,756.5476411,769.4373107,806.8799811,774.6892594,822.3479886
South Asia,SAS,GDP per capita (current US$),1523.697807,1675.575511,1887.92183,1920.208396,1962.802875,1852.300088,2149.821595
Saudi Arabia,SAU,GDP per capita (current US$),19977.79469,19300.05001,20138.14633,23318.73817,22430.23823,19539.56581,23185.87079
Sudan,SDN,GDP per capita (current US$),2226.421631,2614.300293,3188.75,769.8691406,748.0109253,608.3325195,751.8213501
Senegal,SEN,GDP per capita (current US$),1238.126396,1290.750004,1385.199333,1484.239673,1462.354333,1490.203137,1636.893209
Singapore,SGP,GDP per capita (current US$),55646.61875,56860.41324,61150.7272,66859.33834,65831.18943,60729.45035,72794.00302
Solomon Islands,SLB,GDP per capita (current US$),2134.802451,2196.270903,2283.576156,2450.484428,2398.772757,2222.465636,2304.844567
Sierra Leone,SLE,GDP per capita (current US$),576.7402317,490.3705888,484.4464498,519.6500156,506.6068944,493.4787775,480.0392113
El Salvador,SLV,GDP per capita (current US$),3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3903.395839,4551.184661
San Marino,SMR,GDP per capita (current US$),42281.64347,43399.4583,44885.79714,48462.96032,47287.39839,45320.20872,
Somalia,SOM,GDP per capita (current US$),387.6079944,387.1866816,377.349072,379.9860027,405.7867633,416.2177747,446.9815596
Serbia,SRB,GDP per capita (current US$),5588.980728,5765.200762,6292.543629,7252.401858,7417.203649,7733.802869,9230.178316
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1674.237701,1523.527264,1608.564847,1630.238971,1606.558195,1492.134018,1632.087531
South Sudan,SSD,GDP per capita (current US$),1071.777765,,,,,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),1675.486575,1524.82775,1609.900105,1631.593697,1607.921605,1493.100691,1633.180754
Small states,SST,GDP per capita (current US$),11585.64515,11163.9733,11854.01603,12808.19088,12427.57674,10702.96169,12588.92779
Sao Tome and Principe,STP,GDP per capita (current US$),1571.49854,1688.375303,1805.524651,1950.629352,1991.738264,2161.310196,2360.543554
