Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Turkmenistan,TKM,GDP (current US$),36169428571,37926285714,40765428571,45231428571,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),5.01517E+12,5.59236E+12,5.46129E+12,5.36742E+12,4.49446E+12,5.18313E+12
Timor-Leste,TLS,GDP (current US$),1650619370,1595724261,1563887944,2028551628,2158392540,3621222382
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),1.46044E+12,1.44815E+12,1.37453E+12,1.37643E+12,1.25855E+12,1.47571E+12
Tonga,TON,GDP (current US$),420540178.6,460379145,488903272.9,512057749,484806718.3,469231309.5
South Asia (IDA & IBRD),TSA,GDP (current US$),3.01076E+12,3.43388E+12,3.53421E+12,3.65395E+12,3.48701E+12,4.08877E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1.57996E+12,1.71275E+12,1.78236E+12,1.80336E+12,1.71901E+12,1.92905E+12
Trinidad and Tobago,TTO,GDP (current US$),23496215885,23797686966,24322359035,23849557812,21059428851,24460196271
Tunisia,TUN,GDP (current US$),44360754190,42163966273,42685972269,41906113686,42537832456,46686741814
Turkiye,TUR,GDP (current US$),8.69693E+11,8.58996E+11,7.78472E+11,7.59937E+11,7.20289E+11,8.19035E+11
Tuvalu,TUV,GDP (current US$),41629497.47,45217657.88,47818290.5,54223149.11,55054710.62,63100961.54
Tanzania,TZA,GDP (current US$),49774004999,53320647489,57003685912,61136873692,62409709111,67841049193
